  2,000/642,663 | G:1,993 P:7 | 175/s | ETA: 61m
  4,000/642,663 | G:3,990 P:10 | 170/s | ETA: 62m
  6,000/642,663 | G:5,988 P:12 | 160/s | ETA: 66m
  8,000/642,663 | G:7,984 P:16 | 162/s | ETA: 65m
  10,000/642,663 | G:9,980 P:20 | 159/s | ETA: 67m
  12,000/642,663 | G:11,977 P:23 | 161/s | ETA: 65m
  14,000/642,663 | G:13,960 P:40 | 162/s | ETA: 65m
  16,000/642,663 | G:15,948 P:52 | 163/s | ETA: 64m
  18,000/642,663 | G:17,930 P:70 | 163/s | ETA: 64m
  20,000/642,663 | G:19,909 P:91 | 163/s | ETA: 64m
  22,000/642,663 | G:21,882 P:118 | 164/s | ETA: 63m
  24,000/642,663 | G:23,849 P:151 | 164/s | ETA: 63m
  26,000/642,663 | G:25,833 P:167 | 164/s | ETA: 63m
  28,000/642,663 | G:27,832 P:168 | 164/s | ETA: 62m
  30,000/642,663 | G:29,828 P:172 | 164/s | ETA: 62m
  32,000/642,663 | G:31,827 P:173 | 165/s | ETA: 62m
  34,000/642,663 | G:33,822 P:178 | 165/s | ETA: 62m
  36,000/642,663 | G:35,820 P:180 | 165/s | ETA: 61m
  38,000/642,663 | G:37,820 P:180 | 165/s | ETA: 61m
  40,000/642,663 | G:39,817 P:183 | 165/s | ETA: 61m
  42,000/642,663 | G:41,811 P:189 | 165/s | ETA: 61m
  44,000/642,663 | G:43,806 P:194 | 165/s | ETA: 60m
  46,000/642,663 | G:45,804 P:196 | 165/s | ETA: 60m
  48,000/642,663 | G:47,800 P:200 | 166/s | ETA: 60m
  50,000/642,663 | G:49,800 P:200 | 166/s | ETA: 60m
  52,000/642,663 | G:51,797 P:203 | 166/s | ETA: 59m
  54,000/642,663 | G:53,794 P:206 | 166/s | ETA: 59m
  56,000/642,663 | G:55,788 P:212 | 166/s | ETA: 59m
  58,000/642,663 | G:57,784 P:216 | 166/s | ETA: 59m
  60,000/642,663 | G:59,782 P:218 | 166/s | ETA: 58m
  62,000/642,663 | G:61,776 P:224 | 166/s | ETA: 58m
  64,000/642,663 | G:63,772 P:228 | 166/s | ETA: 58m
  66,000/642,663 | G:65,767 P:233 | 166/s | ETA: 58m
  68,000/642,663 | G:67,766 P:234 | 166/s | ETA: 58m
  70,000/642,663 | G:69,764 P:236 | 166/s | ETA: 57m
  72,000/642,663 | G:71,741 P:259 | 167/s | ETA: 57m
  74,000/642,663 | G:73,732 P:268 | 167/s | ETA: 57m
  76,000/642,663 | G:75,727 P:273 | 167/s | ETA: 56m
  78,000/642,663 | G:77,718 P:282 | 167/s | ETA: 56m
  80,000/642,663 | G:79,716 P:284 | 167/s | ETA: 56m
  82,000/642,663 | G:81,716 P:284 | 167/s | ETA: 56m
  84,000/642,663 | G:83,715 P:285 | 167/s | ETA: 56m
  86,000/642,663 | G:85,711 P:289 | 167/s | ETA: 55m
  88,000/642,663 | G:87,704 P:296 | 167/s | ETA: 55m
  90,000/642,663 | G:89,693 P:307 | 167/s | ETA: 55m
  92,000/642,663 | G:91,673 P:327 | 167/s | ETA: 55m
  94,000/642,663 | G:93,659 P:341 | 167/s | ETA: 55m
  96,000/642,663 | G:95,656 P:344 | 167/s | ETA: 54m
  98,000/642,663 | G:97,643 P:357 | 167/s | ETA: 54m
  100,000/642,663 | G:99,635 P:365 | 167/s | ETA: 54m
  102,000/642,663 | G:101,615 P:385 | 166/s | ETA: 54m
  104,000/642,663 | G:103,609 P:391 | 166/s | ETA: 54m
  106,000/642,663 | G:105,599 P:401 | 166/s | ETA: 54m
  108,000/642,663 | G:107,588 P:412 | 166/s | ETA: 54m
  110,000/642,663 | G:109,583 P:417 | 166/s | ETA: 53m
  112,000/642,663 | G:111,570 P:430 | 166/s | ETA: 53m
  114,000/642,663 | G:113,559 P:441 | 166/s | ETA: 53m
  116,000/642,663 | G:115,549 P:451 | 166/s | ETA: 53m
  118,000/642,663 | G:117,541 P:459 | 166/s | ETA: 53m
  120,000/642,663 | G:119,531 P:469 | 166/s | ETA: 52m
  122,000/642,663 | G:121,518 P:482 | 166/s | ETA: 52m
  124,000/642,663 | G:123,512 P:488 | 166/s | ETA: 52m
  126,000/642,663 | G:125,499 P:501 | 166/s | ETA: 52m
  128,000/642,663 | G:127,487 P:513 | 166/s | ETA: 52m
  130,000/642,663 | G:129,479 P:521 | 166/s | ETA: 51m
  132,000/642,663 | G:131,466 P:534 | 166/s | ETA: 51m
  134,000/642,663 | G:133,461 P:539 | 166/s | ETA: 51m
  136,000/642,663 | G:135,456 P:544 | 166/s | ETA: 51m
  138,000/642,663 | G:137,443 P:557 | 166/s | ETA: 51m
  140,000/642,663 | G:139,417 P:583 | 166/s | ETA: 50m
  142,000/642,663 | G:141,412 P:588 | 166/s | ETA: 50m
  144,000/642,663 | G:143,389 P:611 | 166/s | ETA: 50m
  146,000/642,663 | G:145,384 P:616 | 166/s | ETA: 50m
  148,000/642,663 | G:147,379 P:621 | 166/s | ETA: 50m
  150,000/642,663 | G:149,372 P:628 | 166/s | ETA: 49m
  152,000/642,663 | G:151,357 P:643 | 166/s | ETA: 49m
  154,000/642,663 | G:153,348 P:652 | 166/s | ETA: 49m
  156,000/642,663 | G:155,345 P:655 | 166/s | ETA: 49m
  158,000/642,663 | G:157,327 P:673 | 166/s | ETA: 49m
  160,000/642,663 | G:159,313 P:687 | 166/s | ETA: 48m
  162,000/642,663 | G:161,307 P:693 | 166/s | ETA: 48m
  164,000/642,663 | G:163,299 P:701 | 166/s | ETA: 48m
  166,000/642,663 | G:165,283 P:717 | 166/s | ETA: 48m
  168,000/642,663 | G:167,276 P:724 | 166/s | ETA: 48m
  170,000/642,663 | G:169,267 P:733 | 166/s | ETA: 47m
  172,000/642,663 | G:171,261 P:739 | 166/s | ETA: 47m
  174,000/642,663 | G:173,259 P:741 | 166/s | ETA: 47m
  176,000/642,663 | G:175,253 P:747 | 166/s | ETA: 47m
  178,000/642,663 | G:177,243 P:757 | 166/s | ETA: 47m
  180,000/642,663 | G:179,236 P:764 | 166/s | ETA: 46m
  182,000/642,663 | G:181,233 P:767 | 166/s | ETA: 46m
  184,000/642,663 | G:183,232 P:768 | 166/s | ETA: 46m
  186,000/642,663 | G:185,232 P:768 | 166/s | ETA: 46m
  188,000/642,663 | G:187,232 P:768 | 166/s | ETA: 46m
  190,000/642,663 | G:189,232 P:768 | 166/s | ETA: 45m
  192,000/642,663 | G:191,230 P:770 | 166/s | ETA: 45m
  194,000/642,663 | G:193,230 P:770 | 166/s | ETA: 45m
  196,000/642,663 | G:195,227 P:773 | 166/s | ETA: 45m
  198,000/642,663 | G:197,213 P:787 | 166/s | ETA: 45m
  200,000/642,663 | G:199,197 P:803 | 166/s | ETA: 44m
  202,000/642,663 | G:201,182 P:818 | 166/s | ETA: 44m
  204,000/642,663 | G:203,172 P:828 | 166/s | ETA: 44m
  206,000/642,663 | G:205,168 P:832 | 166/s | ETA: 44m
  208,000/642,663 | G:207,162 P:838 | 166/s | ETA: 44m
  210,000/642,663 | G:209,154 P:846 | 166/s | ETA: 43m
  212,000/642,663 | G:211,151 P:849 | 166/s | ETA: 43m
