  2,000/640,219 | G:1,991 P:9 | 198/s | ETA: 54m
  4,000/640,219 | G:3,967 P:33 | 181/s | ETA: 59m
  6,000/640,219 | G:5,955 P:45 | 176/s | ETA: 60m
  8,000/640,219 | G:7,940 P:60 | 171/s | ETA: 61m
  10,000/640,219 | G:9,930 P:70 | 169/s | ETA: 62m
  12,000/640,219 | G:11,912 P:88 | 169/s | ETA: 62m
  14,000/640,219 | G:13,903 P:97 | 171/s | ETA: 61m
  16,000/640,219 | G:15,895 P:105 | 170/s | ETA: 61m
  18,000/640,219 | G:17,882 P:118 | 170/s | ETA: 61m
  20,000/640,219 | G:19,872 P:128 | 169/s | ETA: 61m
  22,000/640,219 | G:21,861 P:139 | 169/s | ETA: 61m
  24,000/640,219 | G:23,850 P:150 | 169/s | ETA: 61m
  26,000/640,219 | G:25,840 P:160 | 169/s | ETA: 61m
  28,000/640,219 | G:27,830 P:170 | 169/s | ETA: 61m
  30,000/640,219 | G:29,810 P:190 | 168/s | ETA: 60m
  32,000/640,219 | G:31,788 P:212 | 168/s | ETA: 60m
  34,000/640,219 | G:33,773 P:227 | 168/s | ETA: 60m
  36,000/640,219 | G:35,770 P:230 | 168/s | ETA: 60m
  38,000/640,219 | G:37,760 P:240 | 168/s | ETA: 60m
  40,000/640,219 | G:39,753 P:247 | 168/s | ETA: 60m
  42,000/640,219 | G:41,740 P:260 | 168/s | ETA: 59m
  44,000/640,219 | G:43,725 P:275 | 168/s | ETA: 59m
  46,000/640,219 | G:45,710 P:290 | 168/s | ETA: 59m
  48,000/640,219 | G:47,695 P:305 | 136/s | ETA: 73m
  50,000/640,219 | G:49,681 P:319 | 137/s | ETA: 72m
  52,000/640,219 | G:51,675 P:325 | 138/s | ETA: 71m
  54,000/640,219 | G:53,665 P:335 | 139/s | ETA: 70m
  56,000/640,219 | G:55,651 P:349 | 120/s | ETA: 81m
  58,000/640,219 | G:57,641 P:359 | 122/s | ETA: 80m
  60,000/640,219 | G:59,641 P:359 | 123/s | ETA: 79m
  62,000/640,219 | G:61,638 P:362 | 124/s | ETA: 78m
